Date,Sales
08-11-2017,261.96
08-11-2017,731.94
12-06-2017,14.62
11-10-2016,957.5775
11-10-2016,22.368
09-06-2015,48.86
09-06-2015,7.28
09-06-2015,907.152
09-06-2015,18.504
09-06-2015,114.9
09-06-2015,1706.184
09-06-2015,911.424
15-04-2018,15.552
05-12-2017,407.976
22-11-2016,68.81
22-11-2016,2.544
11-11-2015,665.88
13-05-2015,55.5
27-08-2015,8.56
27-08-2015,213.48
27-08-2015,22.72
09-12-2017,19.46
09-12-2017,60.34
16-07-2018,71.372
25-09-2016,1044.63
16-01-2017,11.648
16-01-2017,90.57
17-09-2016,3083.43
17-09-2016,9.618
17-09-2016,124.2
17-09-2016,3.264
17-09-2016,86.304
17-09-2016,6.858
17-09-2016,15.76
19-10-2018,29.472
08-12-2017,1097.544
08-12-2017,190.92
27-12-2016,113.328
27-12-2016,532.3992
27-12-2016,212.058
27-12-2016,371.168
10-09-2018,147.168
17-07-2017,77.88
19-09-2018,95.616
11-03-2017,45.98
11-03-2017,17.46
20-10-2015,211.96
20-06-2017,45
20-06-2017,21.8
18-04-2016,38.22
18-04-2016,75.18
18-04-2016,6.16
18-04-2016,89.99
11-12-2017,15.26
11-12-2017,1029.95
17-06-2017,208.56
17-06-2017,32.4
17-06-2017,319.41
17-06-2017,14.56
17-06-2017,30
17-06-2017,48.48
17-06-2017,1.68
24-11-2016,13.98
24-11-2016,25.824
24-11-2016,146.73
24-11-2016,79.76
30-04-2016,213.115
05-12-2015,1113.024
05-12-2015,167.968
04-06-2017,75.88
18-09-2017,4.616
14-09-2018,19.05
26-04-2016,831.936
26-04-2016,97.04
26-04-2016,72.784
09-12-2018,1.248
09-12-2018,9.708
09-12-2018,27.24
26-11-2015,19.3
12-06-2017,208.16
12-06-2017,16.74
12-10-2015,14.9
12-10-2015,21.39
03-09-2016,200.984
13-11-2018,230.376
28-05-2018,301.96
26-10-2018,19.99
26-10-2018,6.16
05-04-2017,158.368
17-09-2017,20.1
17-09-2017,73.584
17-09-2017,6.48
31-01-2016,12.96
31-01-2016,53.34
31-01-2016,32.96
06-11-2018,5.682
09-11-2018,96.53
17-06-2018,51.312
06-09-2017,77.88
29-08-2017,64.624
29-08-2017,95.976
29-08-2017,1.788
01-12-2017,23.92
13-11-2016,238.896
13-11-2016,102.36
13-11-2016,36.882
23-11-2018,74.112
23-11-2018,27.992
23-11-2018,3.304
15-10-2016,339.96
25-12-2018,41.96
03-11-2017,75.96
03-11-2017,27.24
25-08-2015,40.096
25-08-2015,4.72
25-08-2015,23.976
25-08-2015,130.464
02-03-2016,787.53
05-04-2016,157.794
12-06-2017,47.04
12-06-2017,30.84
12-06-2017,226.56
12-06-2017,115.02
12-06-2017,68.04
26-12-2015,600.558
20-09-2015,617.7
05-11-2018,2.388
05-11-2018,243.992
06-11-2017,81.424
06-11-2017,238.56
02-02-2018,59.97
02-02-2018,78.304
02-02-2018,21.456
13-10-2017,20.04
13-10-2017,35.44
13-10-2017,11.52
13-10-2017,4.02
13-10-2017,76.176
13-10-2017,65.88
13-10-2017,43.12
05-09-2017,82.8
18-09-2018,8.82
18-09-2018,10.86
18-09-2018,143.7
22-12-2018,839.43
07-09-2016,671.93
22-10-2015,93.888
05-12-2017,384.45
05-12-2017,149.97
05-12-2017,1951.84
05-12-2017,171.55
13-03-2017,157.92
13-03-2017,203.184
31-05-2016,58.38
31-05-2016,105.52
31-05-2016,80.88
28-05-2016,6.63
01-03-2015,457.568
20-11-2017,14.62
20-11-2017,944.93
11-05-2017,5.98
28-12-2016,54.384
16-11-2017,28.4
07-11-2017,27.68
08-09-2015,9.936
08-09-2015,8159.952
08-09-2015,275.928
08-09-2015,1740.06
08-09-2015,32.064
08-09-2015,177.98
08-09-2015,143.976
05-08-2015,20.94
05-08-2015,110.96
05-08-2015,340.144
14-09-2015,52.448
14-09-2015,20.16
21-04-2018,97.264
21-11-2016,396.802
21-11-2016,15.88
15-12-2016,3.28
05-12-2015,24.816
05-12-2015,408.744
19-11-2015,503.96
19-11-2015,149.95
19-11-2015,29
28-11-2017,7.16
26-08-2015,176.8
16-07-2017,37.224
16-07-2017,20.016
12-10-2016,899.136
12-10-2016,71.76
12-10-2016,51.84
12-10-2016,626.352
12-10-2016,19.9
31-10-2016,14.28
21-03-2015,7.408
21-03-2015,6.048
06-11-2018,46.26
06-07-2018,2.946
06-07-2018,16.056
24-06-2018,21.744
03-08-2015,218.75
03-08-2015,2.6
17-12-2018,66.284
03-06-2018,35.168
09-12-2018,444.768
01-12-2018,83.92
01-12-2018,131.98
01-12-2018,15.92
01-12-2018,52.29
01-12-2018,91.99
09-02-2016,20.8
02-01-2016,23.68
02-01-2016,452.45
02-01-2016,62.982
02-01-2016,1188
02-01-2016,89.584
28-10-2017,93.06
28-10-2017,302.376
24-12-2016,5.584
24-12-2016,22.704
24-12-2016,19.776
24-12-2016,72.704
24-12-2016,479.988
24-12-2016,27.168
09-08-2016,2.2
09-08-2016,622.45
09-08-2016,21.98
28-02-2016,161.568
28-02-2016,389.696
13-09-2015,18.648
07-04-2018,233.86
07-04-2018,620.6145
07-04-2018,5.328
07-04-2018,258.072
07-04-2018,617.976
12-11-2018,10.56
04-06-2017,25.92
04-06-2017,419.68
04-06-2017,11.688
04-06-2017,31.984
04-06-2017,177.225
04-06-2017,4.044
04-06-2017,7.408
01-06-2015,2001.86
01-06-2015,166.72
01-06-2015,47.88
01-06-2015,1503.25
01-06-2015,25.92
10-12-2017,321.568
11-09-2017,7.61
11-09-2017,3347.37
10-12-2017,80.58
10-12-2017,361.92
28-11-2016,12.132
28-11-2016,82.368
28-11-2016,53.92
28-11-2016,647.904
01-12-2018,20.37
01-12-2018,221.55
01-12-2018,17.52
08-06-2018,1.624
19-09-2015,3059.982
19-09-2015,2519.958
06-06-2017,328.224
10-11-2016,79.9
16-06-2018,14.016
22-01-2017,7.56
09-12-2018,37.208
09-12-2018,57.576
28-12-2018,725.84
30-07-2016,209.93
30-07-2016,5.28
30-07-2016,10.92
16-09-2018,8.82
16-09-2018,5.98
13-10-2018,11.648
13-10-2018,18.176
13-10-2018,59.712
13-10-2018,24.84
26-09-2016,2.08
26-09-2016,1114.4
02-11-2016,1038.84
26-09-2016,141.76
26-09-2016,239.8
26-09-2016,31.104
18-12-2017,254.058
18-12-2017,194.528
18-12-2017,961.48
20-11-2017,19.096
20-11-2017,18.496
20-11-2017,255.984
20-11-2017,86.97
26-12-2015,300.416
26-12-2015,230.352
26-12-2015,218.352
