Date,Sales,,,
08-11-2016,261.96,,,
08-11-2016,731.94,,,
12-06-2016,14.62,,,
11-10-2015,957.5775,,,
11-10-2015,22.368,,,
09-06-2014,48.86,,,
09-06-2014,7.28,,,
09-06-2014,907.152,,,
09-06-2014,18.504,,,
09-06-2014,114.9,,,
09-06-2014,1706.184,,,
09-06-2014,911.424,,,
15-04-2017,15.552,,,
05-12-2016,407.976,,,
22-11-2015,68.81,,,
22-11-2015,2.544,,,
11-11-2014,665.88,,,
13-05-2014,55.5,,,
27-08-2014,8.56,,,
27-08-2014,213.48,,,
27-08-2014,22.72,,,
09-12-2016,19.46,,,
09-12-2016,60.34,,,
16-07-2017,71.372,,,
25-09-2015,1044.63,,,
16-01-2016,11.648,,,
16-01-2016,90.57,,,
17-09-2015,3083.43,,,
17-09-2015,9.618,,,
17-09-2015,124.2,,,
17-09-2015,3.264,,,
17-09-2015,86.304,,,
17-09-2015,6.858,,,
17-09-2015,15.76,,,
19-10-2017,29.472,,,
08-12-2016,1097.544,,,
08-12-2016,190.92,,,
27-12-2015,113.328,,,
27-12-2015,532.3992,,,
27-12-2015,212.058,,,
27-12-2015,371.168,,,
10-09-2017,147.168,,,
17-07-2016,77.88,,,
19-09-2017,95.616,,,
11-03-2016,45.98,,,
11-03-2016,17.46,,,
20-10-2014,211.96,,,
20-06-2016,45,,,
20-06-2016,21.8,,,
18-04-2015,38.22,,,
18-04-2015,75.18,,,
18-04-2015,6.16,,,
18-04-2015,89.99,,,
11-12-2016,15.26,,,
11-12-2016,1029.95,,,
17-06-2016,208.56,,,
17-06-2016,32.4,,,
17-06-2016,319.41,,,
17-06-2016,14.56,,,
17-06-2016,30,,,
17-06-2016,48.48,,,
17-06-2016,1.68,,,
24-11-2015,13.98,,,
24-11-2015,25.824,,,
24-11-2015,146.73,,,
24-11-2015,79.76,,,
30-04-2015,213.115,,,
05-12-2014,1113.024,,,
05-12-2014,167.968,,,
04-06-2016,75.88,,,
18-09-2016,4.616,,,
14-09-2017,19.05,,,
26-04-2015,831.936,,,
26-04-2015,97.04,,,
26-04-2015,72.784,,,
09-12-2017,1.248,,,
09-12-2017,9.708,,,
09-12-2017,27.24,,,
26-11-2014,19.3,,,
12-06-2016,208.16,,,
12-06-2016,16.74,,,
12-10-2014,14.9,,,
12-10-2014,21.39,,,
03-09-2015,200.984,,,
13-11-2017,230.376,,,
28-05-2017,301.96,,,
26-10-2017,19.99,,,
26-10-2017,6.16,,,
05-04-2016,158.368,,,
